epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,13743.3,1.07004,0.87896,1.54151,0.87305,0.8399,0.87252,0.4794,1.63992,0.86223,2.49196,0.0003566,0.0003566,0.0003566
85,13879.5,1.07546,0.85621,1.56664,0.86102,0.83621,0.87582,0.47477,1.63556,0.88351,2.47271,0.0003368,0.0003368,0.0003368
86,14019.4,1.06295,0.86934,1.55665,0.85813,0.84172,0.87541,0.46263,1.71199,0.89517,2.539,0.000317,0.000317,0.000317
87,14157.9,1.03643,0.84411,1.55491,0.86034,0.8497,0.8674,0.47078,1.67957,0.8718,2.52297,0.0002972,0.0002972,0.0002972
88,14297.4,1.03197,0.84984,1.51704,0.86349,0.85691,0.88432,0.47609,1.63979,0.86948,2.47349,0.0002774,0.0002774,0.0002774
89,14437.3,1.03222,0.89404,1.52269,0.86981,0.85569,0.88962,0.48712,1.63613,0.86795,2.46621,0.0002576,0.0002576,0.0002576
90,14576.8,1.03299,0.84153,1.55053,0.86752,0.85468,0.89179,0.49594,1.62811,0.85927,2.46351,0.0002378,0.0002378,0.0002378
91,14704,1.01154,0.83522,1.75666,0.85738,0.83659,0.86731,0.48578,1.65067,0.85679,2.50449,0.000218,0.000218,0.000218
92,14830.8,0.97429,0.71667,1.78121,0.86373,0.83128,0.86857,0.48494,1.63606,0.85584,2.48677,0.0001982,0.0001982,0.0001982
93,14968.9,0.96075,0.63942,1.70237,0.86714,0.85202,0.8833,0.47782,1.64598,0.8929,2.48539,0.0001784,0.0001784,0.0001784
94,15107.8,0.93628,0.62884,1.70681,0.86177,0.84113,0.87473,0.47769,1.63124,0.9095,2.45903,0.0001586,0.0001586,0.0001586
95,15246.9,0.95096,0.6026,1.74082,0.86467,0.84192,0.87665,0.47652,1.65543,0.90538,2.48415,0.0001388,0.0001388,0.0001388
96,15422.6,0.96165,0.59681,1.71331,0.8846,0.83498,0.88533,0.48408,1.65078,0.89685,2.49154,0.000119,0.000119,0.000119
97,15604.6,0.98936,0.57674,1.74516,0.88506,0.83451,0.88407,0.48544,1.64239,0.88919,2.49068,9.92e-05,9.92e-05,9.92e-05
98,15781.4,0.90879,0.56795,1.66326,0.87778,0.84026,0.88044,0.48537,1.6225,0.87699,2.47784,7.94e-05,7.94e-05,7.94e-05
99,15961.1,0.93731,0.56082,1.68081,0.87672,0.83128,0.88032,0.48373,1.62924,0.87771,2.48063,5.96e-05,5.96e-05,5.96e-05
100,16136.8,0.89356,0.54518,1.65283,0.88131,0.83621,0.88432,0.48427,1.62926,0.8783,2.4764,3.98e-05,3.98e-05,3.98e-05
